,tx,ty,tz,PL,angle
0,-0.0027699999999999995,0.0015590000000000005,-0.0012510000000000004,70,2
0,0.000576,0.0010439999999999998,-0.00029199999999999983,1,3
0,-6.999999999999997e-05,0.000661,-0.0008859999999999999,2,3
0,-0.000809,-0.0016200000000000001,0.000598,3,3
0,-0.0008670000000000001,-0.0006299999999999998,-0.000665,4,3
0,0.00039400000000000004,-0.0008829999999999997,0.001675,5,3
0,-0.0006380000000000001,-0.0007759999999999998,-0.00012099999999999981,6,3
0,0.000828,0.0005560000000000001,0.0006850000000000001,7,3
0,-9.999999999999999e-05,-0.0006720000000000001,0.000628,8,3
0,0.00011999999999999994,-0.0008579999999999998,0.0012079999999999999,9,3
0,-0.0014449999999999999,-0.002364,0.000443,10,3
0,0.000656,0.000701,0.0002390000000000001,11,3
0,0.0007099999999999999,0.0004139999999999998,0.0006590000000000001,12,3
0,-0.001805,-0.003678,0.0014060000000000008,13,3
0,-0.001442,-0.0006630000000000001,-0.0015510000000000003,14,3
0,7.199999999999999e-05,-0.0010560000000000003,0.0013599999999999999,15,3
0,-0.00022999999999999998,0.0010010000000000004,-0.0015469999999999998,16,3
0,-0.0004379999999999999,-2.6000000000000036e-05,-0.000675,17,3
0,0.0009019999999999999,0.001405,-0.00019699999999999986,18,3
0,0.002869000000000001,0.0027519999999999997,0.0014130000000000004,19,3
0,0.00039600000000000014,-0.0031399999999999996,0.004331,20,3
0,0.0005079999999999999,-0.002381,0.003621,21,3
0,-0.0016970000000000002,-0.002304000000000001,-3.7999999999999894e-05,22,3
0,-0.0021729999999999996,-0.002791,-0.0002379999999999996,23,3
0,-0.0005859999999999997,-0.0002549999999999999,-0.0006540000000000002,24,3
0,0.00020699999999999996,-0.0005819999999999997,0.0010230000000000003,25,3
0,-0.0007699999999999999,-0.0035699999999999994,0.0029479999999999992,26,3
0,-0.001138,-0.0034679999999999997,0.0022340000000000003,27,3
0,0.0012859999999999998,0.0029229999999999994,-0.0013520000000000001,28,3
0,-0.0019879999999999997,-0.006168999999999998,0.004039000000000001,29,3
0,-0.0016700000000000003,-0.0025410000000000003,0.00028700000000000004,30,3
0,0.001334,0.0018709999999999998,-3.800000000000033e-05,31,3
0,-0.004997000000000001,-0.007025999999999998,0.00017600000000000019,32,3
0,-0.0008179999999999999,0.0005040000000000008,-0.0019169999999999999,33,3
0,0.0007250000000000002,-0.0005049999999999997,0.0017689999999999997,34,3
0,0.001092,-0.0007829999999999997,0.0026910000000000002,35,3
0,-0.001876,-0.004632000000000001,0.0024100000000000007,36,3
0,-0.0009890000000000003,-0.0019139999999999995,0.000652,37,3
0,-0.0006849999999999998,-0.0007010000000000003,-0.00028599999999999974,38,3
0,-0.002594,-0.005935000000000001,0.00278,39,3
0,0.005267,0.002047000000000001,0.006113,40,3
0,-0.0022580000000000005,-0.005472,0.002778,41,3
0,0.003075000000000001,-0.0012919999999999993,0.006496,42,3
0,-0.006711000000000001,-0.0029680000000000015,-0.0073690000000000005,43,3
0,-0.0018739999999999996,0.001451,-0.004741,44,3
0,0.000837,-0.004271000000000001,0.006377,45,3
0,0.0019219999999999999,0.001709999999999999,0.001095000000000001,46,3
0,4.40000000000002e-05,-0.0006019999999999996,0.0007779999999999998,47,3
0,-0.0005830000000000003,-0.009659999999999998,0.010415,48,3
