,tx,ty,tz,PL,angle
0,-0.001643,-0.0016279999999999997,-0.000744,37,3
0,-0.0011909999999999998,0.0008059999999999995,-0.002877,38,3
0,-0.003072999999999999,-0.0028850000000000004,-0.001579,39,3
0,0.0008280000000000002,0.0004210000000000006,0.0008470000000000001,40,3
0,-0.0006640000000000001,0.0006470000000000002,-0.0018319999999999999,41,3
0,-0.0006290000000000002,-0.0018410000000000002,0.0011439999999999998,42,3
0,-0.0017679999999999998,-0.0039629999999999995,0.0017979999999999997,43,3
0,-0.0008309999999999998,0.0018719999999999997,-0.00354,44,3
0,-0.0010999999999999998,-0.0017870000000000002,0.0003239999999999999,45,3
0,0.000616,-0.0008049999999999999,0.0019370000000000004,46,3
0,-0.003269,-0.00395,-0.0006489999999999996,47,3
0,-0.00020500000000000013,0.0001749999999999998,-0.0005369999999999999,48,3
0,-0.0016289999999999998,-0.000689,-0.0018230000000000004,49,3
0,0.0003119999999999999,0.0006740000000000002,-0.000287,50,3
0,-0.0010729999999999997,-0.003111,0.001922,51,3
0,-0.00023900000000000017,0.0006030000000000005,-0.001096,52,3
0,-0.00038900000000000013,0.000815,-0.001591,53,3
0,2.800000000000003e-05,-0.0004920000000000001,0.0006240000000000001,54,3
0,-0.00051,-0.0008399999999999998,0.00015800000000000015,55,3
0,-0.00013100000000000012,-0.002025,0.00217,56,3
0,-0.00043400000000000003,0.0016350000000000004,-0.002630000000000001,57,3
0,6.299999999999993e-05,0.000345,-0.00029999999999999987,58,3
0,-0.0009759999999999999,4.000000000000043e-05,-0.001627,59,3
0,0.00016399999999999997,-0.0007720000000000003,0.001166,60,3
0,-0.001242,-0.001,-0.0008340000000000003,61,3
0,-9.600000000000008e-05,-0.0005070000000000004,0.00044100000000000004,62,3
0,-0.001429,-0.001774,-0.00022899999999999987,63,3
0,-0.0002489999999999999,-0.00113,0.0009249999999999998,64,3
0,-0.0006460000000000001,0.00021400000000000032,-0.0012969999999999998,65,3
0,0.0003519999999999999,9.699999999999997e-05,0.0004579999999999999,66,3
0,-0.0005600000000000001,-0.001606,0.000981,67,3
0,0.00019500000000000013,0.0005250000000000003,-0.000305,68,3
0,0.0008950000000000001,0.0013219999999999998,-0.00010500000000000006,69,3
0,0.000725,0.001869,-0.001028,70,3
0,0.006567999999999999,-0.008298999999999999,0.0008719999999999999,1,4
0,0.002948,-0.006256000000000001,-0.0025870000000000003,2,4
0,0.00032899999999999965,0.001609999999999999,0.0024269999999999995,3,4
0,0.0053,-0.009538999999999999,-0.0026400000000000004,4,4
0,0.003205,-0.006303,-0.0022250000000000004,5,4
0,0.001509,0.0020699999999999985,0.004874,6,4
0,0.0013740000000000002,-0.001208,0.0008030000000000002,7,4
0,0.0037280000000000004,-0.006260999999999999,-0.0013289999999999999,8,4
0,-0.0029519999999999998,0.0009670000000000004,-0.0036309999999999997,9,4
0,0.005351,-0.007256,0.00012799999999999983,10,4
0,0.002079,-0.002229,0.0007439999999999999,11,4
0,0.002124,-0.0022460000000000006,0.0007950000000000002,12,4
0,0.005355,-0.007007,0.0004270000000000005,13,4
0,0.0010839999999999997,-0.003747,-0.002647000000000001,14,4
0,0.00016200000000000112,0.0027199999999999993,0.0034620000000000002,15,4
0,0.0067670000000000004,-0.009792,-0.0005610000000000001,16,4
0,-0.0016219999999999993,0.0007990000000000002,-0.0016869999999999997,17,4
0,8.90000000000001e-05,-0.0023559999999999996,-0.002627,18,4
0,0.005582,-0.0045049999999999995,0.0037380000000000004,19,4
0,0.0007129999999999997,-0.002152,-0.0013779999999999999,20,4
0,0.0017100000000000001,-0.004778,-0.0028510000000000002,21,4
0,0.001441,-0.003511,-0.001794,22,4
0,0.001483,-0.0003340000000000001,0.002006,23,4
0,0.004652,-0.004213,0.002573,24,4
0,0.0012929999999999999,-0.0010979999999999996,0.0008040000000000002,25,4
0,0.004843999999999999,-0.004095,0.003025,26,4
0,0.0009519999999999997,-0.0015859999999999997,-0.0003209999999999998,27,4
0,-0.0006230000000000003,-0.00039599999999999987,-0.0014720000000000002,28,4
0,0.0029960000000000004,-0.0044540000000000005,-0.00039099999999999964,29,4
0,0.0036509999999999997,-0.004768,0.00030500000000000026,30,4
0,0.002844,-0.003267,0.0007630000000000001,31,4
0,0.003321999999999999,-0.0032010000000000007,0.0016070000000000001,32,4
0,0.002371,-0.001926,0.0015690000000000007,33,4
0,0.0015470000000000002,-0.003635,-0.0017699999999999999,34,4
0,0.001487,-0.0027470000000000003,-0.0008200000000000001,35,4
0,0.002918,-0.004074,-6.599999999999965e-05,36,4
0,0.0008779999999999994,-0.002625,-0.0016660000000000002,37,4
0,-0.0008240000000000003,0.0008870000000000004,-0.000287,38,4
0,-0.00020899999999999988,0.002657,0.0027859999999999994,39,4
0,0.005079,-0.006648,0.00040799999999999994,40,4
0,-0.00010999999999999985,-0.0027470000000000003,-0.0034070000000000003,41,4
0,0.0016300000000000002,-0.0012459999999999997,0.001169,42,4
0,0.0032639999999999995,-0.0027990000000000003,0.0019909999999999997,43,4
0,0.001185,-0.002268,-0.0007460000000000001,44,4
